index,selected_model,selected_model_chaos,predicted,actual
0,xgboost,0.0,3,4
1,xgboost,0.0,3,3
2,xgboost,0.0,0,0
3,xgboost,0.0,2,2
4,xgboost,0.0,1,1
5,xgboost,0.0,1,1
6,xgboost,0.0,1,0
7,xgboost,0.0,3,3
8,xgboost,0.0,3,3
9,xgboost,0.0,5,5
10,xgboost,0.0,3,3
11,xgboost,0.0,5,5
12,xgboost,0.0,4,4
13,xgboost,0.0,0,0
14,xgboost,0.0,4,4
15,xgboost,0.0,4,4
16,xgboost,0.0,4,4
17,xgboost,0.0,4,4
18,xgboost,0.0,1,1
19,xgboost,0.0,3,3
20,xgboost,0.0,0,0
21,xgboost,0.0,5,0
22,xgboost,0.0,4,2
23,xgboost,0.0,4,4
24,xgboost,0.0,0,0
25,xgboost,0.0,5,5
26,xgboost,0.0,0,0
27,xgboost,0.0,4,4
28,xgboost,0.0,0,0
29,xgboost,0.0,3,3
30,xgboost,0.0,4,4
31,xgboost,0.0,4,1
32,xgboost,0.0,3,3
33,xgboost,0.0,4,0
34,xgboost,0.0,0,1
35,xgboost,0.0,2,2
36,xgboost,0.0,0,3
37,xgboost,0.0,2,2
38,xgboost,0.0,2,5
39,xgboost,0.0,4,3
40,xgboost,0.0,0,1
41,xgboost,0.0,4,2
42,xgboost,0.0,5,5
43,xgboost,0.0,2,2
44,xgboost,0.0,0,0
45,xgboost,0.0,2,4
46,xgboost,0.0,4,2
47,xgboost,0.0,0,0
48,xgboost,0.0,4,4
49,xgboost,0.0,0,4
50,xgboost,0.0,1,1
51,xgboost,0.0,0,5
52,xgboost,0.0,1,5
53,xgboost,0.0,3,3
54,xgboost,0.0,0,0
55,xgboost,0.0,1,1
56,xgboost,0.0,2,2
57,xgboost,0.0,0,0
58,xgboost,0.0,2,2
59,xgboost,0.0,2,2
60,xgboost,0.0,2,2
61,xgboost,0.0,3,3
62,xgboost,0.0,1,3
63,xgboost,0.0,1,1
64,xgboost,0.0,0,3
65,xgboost,0.0,1,1
66,xgboost,0.0,0,3
67,xgboost,0.0,5,5
68,xgboost,0.0,1,1
69,xgboost,0.0,5,5
70,xgboost,0.0,5,5
71,xgboost,0.0,1,1
72,xgboost,0.0,4,0
73,xgboost,0.0,0,4
74,xgboost,0.0,3,3
75,xgboost,0.0,5,2
76,xgboost,0.0,3,3
77,xgboost,0.0,2,2
78,xgboost,0.0,4,0
79,xgboost,0.0,4,4
80,xgboost,0.0,0,0
81,xgboost,0.0,4,4
82,xgboost,0.0,0,1
83,xgboost,0.0,1,1
84,xgboost,0.0,2,2
85,xgboost,0.0,5,5
86,xgboost,0.0,5,5
87,xgboost,0.0,2,2
88,xgboost,0.0,4,1
89,xgboost,0.0,2,2
90,xgboost,0.0,5,5
91,xgboost,0.0,2,2
92,xgboost,0.0,1,1
93,xgboost,0.0,0,0
94,xgboost,0.0,3,3
95,xgboost,0.0,1,1
96,xgboost,0.0,2,2
97,xgboost,0.0,1,1
98,xgboost,0.0,1,1
99,xgboost,0.0,5,5
100,xgboost,0.0,2,2
101,xgboost,0.0,5,5
102,xgboost,0.0,2,2
103,xgboost,0.0,5,5
104,xgboost,0.0,5,5
105,xgboost,0.0,0,0
106,xgboost,0.0,1,1
107,xgboost,0.0,0,0
108,xgboost,0.0,5,5
109,xgboost,0.0,0,0
110,xgboost,0.0,1,1
111,xgboost,0.0,1,1
112,xgboost,0.0,5,5
113,xgboost,0.0,4,1
114,xgboost,0.0,1,0
115,xgboost,0.0,4,4
116,xgboost,0.0,1,1
117,xgboost,0.0,4,0
118,xgboost,0.0,0,0
119,xgboost,0.0,0,0
120,xgboost,0.0,1,1
121,xgboost,0.0,4,4
122,xgboost,0.0,5,5
123,xgboost,0.0,0,5
124,xgboost,0.0,0,1
125,xgboost,0.0,0,1
126,xgboost,0.0,0,3
127,xgboost,0.0,1,2
128,xgboost,0.0,4,4
129,xgboost,0.0,0,0
130,xgboost,0.0,2,2
131,xgboost,0.0,0,0
132,xgboost,0.0,2,2
133,xgboost,0.0,5,5
134,xgboost,0.0,3,2
135,xgboost,0.0,1,1
136,xgboost,0.0,4,4
137,xgboost,0.0,5,5
138,xgboost,0.0,2,2
139,xgboost,0.0,4,4
140,xgboost,0.0,1,1
141,xgboost,0.0,0,0
142,xgboost,0.0,4,3
143,xgboost,0.0,4,4
144,xgboost,0.0,5,0
145,xgboost,0.0,4,4
146,xgboost,0.0,1,4
147,xgboost,0.0,1,4
148,xgboost,0.0,1,1
149,xgboost,0.0,5,5
150,xgboost,0.0,5,4
151,xgboost,0.0,1,1
152,xgboost,0.0,0,3
153,xgboost,0.0,5,5
154,xgboost,0.0,1,1
155,xgboost,0.0,3,3
156,xgboost,0.0,0,5
157,xgboost,0.0,1,1
158,xgboost,0.0,3,3
159,xgboost,0.0,1,1
160,xgboost,0.0,3,3
161,xgboost,0.0,4,4
162,xgboost,0.0,4,4
163,xgboost,0.0,5,5
164,xgboost,0.0,3,3
165,xgboost,0.0,4,4
